geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete
National,NA,NA,All,2010-11,201126,3,3348,3351,46030,7.2800347599,96.743345348
National,NA,NA,All,2010-11,201127,1,3193,3194,45759,6.9800476409,96.173772318
National,NA,NA,All,2010-11,201128,2,3149,3151,45380,6.9435874835,95.377210774
National,NA,NA,All,2010-11,201129,3,3190,3193,45774,6.9755756543,96.2052985
National,NA,NA,All,2010-11,201130,3,2997,3000,45068,6.6566077927,94.721466178
National,NA,NA,All,2010-11,201131,1,3002,3003,45766,6.5616396452,96.188484536
National,NA,NA,All,2010-11,201132,2,3030,3032,45366,6.6834193008,95.347786337
National,NA,NA,All,2010-11,201133,1,2981,2982,45079,6.6150535726,94.744585378
National,NA,NA,All,2010-11,201134,3,3072,3075,45006,6.8324223437,94.591157957
National,NA,NA,All,2010-11,201135,4,3075,3079,45606,6.7513046529,95.852205256
National,NA,NA,All,2010-11,201136,2,3003,3005,45206,6.6473476972,95.011507057
National,NA,NA,All,2010-11,201137,2,3042,3044,45145,6.742717909,94.883300581
National,NA,NA,All,2010-11,201138,1,3211,3212,46117,6.9648936401,96.926197207
National,NA,NA,All,2010-11,201139,1,3167,3168,45441,6.9716775599,95.505417249
National,NA,NA,All,2011-12,201140,4,3259,3263,46853,6.9643352613,98.473081895000007
National,NA,NA,All,2011-12,201141,5,3406,3411,46877,7.2764895364,98.523523787
National,NA,NA,All,2011-12,201142,5,3325,3330,47007,7.0840513115,98.796750701
National,NA,NA,All,2011-12,201143,4,3384,3388,47161,7.1839019529,99.120419508
National,NA,NA,All,2011-12,201144,8,3497,3505,48244,7.2651521433,101.39660988
National,NA,NA,All,2011-12,201145,6,3671,3677,48759,7.5411718862,102.47900882
National,NA,NA,All,2011-12,201146,2,3645,3647,48205,7.5656052277,101.31464181
National,NA,NA,All,2011-12,201147,8,3562,3570,47400,7.5316455696,99.622736683
National,NA,NA,All,2011-12,201148,8,3655,3663,47740,7.6728110599,100.33733015
National,NA,NA,All,2011-12,201149,1,3761,3762,48960,7.6838235294,102.90145966
National,NA,NA,All,2011-12,201150,8,3854,3862,49217,7.8468821749,103.44160826
National,NA,NA,All,2011-12,201151,8,3837,3845,49499,7.7678336936,104.03430049
